Job ID,Job Title,Company,Industry,Company Size,Country,City,Remote Type,Employment Type,Experience Level,Minimum Experience (Years),Annual Salary,Currency,Skills Required,Number of Applicants,Job Posted Date,Education Requirement,Department,Company Rating,Hiring Status,Job Category
JOB-1041,Senior Data Analyst,Amazon,E-Commerce,10001+,Canada,Vancouver,Remote,Full-time,Mid Level,5,104000,CAD,"R, Python, Power BI, SQL, Tableau",269,2024-05-04,Bachelor's,Analytics,3.9,Open,Data
JOB-1042,Data Engineer,Uber,Transportation,5001-10000,Germany,Berlin,Onsite,Internship,Senior Level,6,135000,EUR,"Python, Spark, AWS, SQL, Airflow",10,2023-11-01,Bachelor's,Engineering,4.2,Open,Data
JOB-1043,Operations Analyst,Ford,Automotive,10001+,Singapore,Singapore,Hybrid,Full-time,Entry Level,0,51000,SGD,"Excel, Lean, Power BI",259,2024-04-06,Bachelor's,Operations,3.8,Open,Business
JOB-1044,Data Architect,Zoom,Software,1001-5000,United States,Austin,Onsite,Full-time,Mid Level,3,224000,USD,"SQL, Spark, AWS, Azure, Python, Data Modeling",276,2023-06-19,Master's,Engineering,3.9,Closed,Data
JOB-1045,Senior Data Scientist,Morgan Stanley,Finance,10001+,United States,Seattle,Onsite,Contract,Senior Level,8,200000,USD,"Statistics, Deep Learning, SQL, Machine Learning, PyTorch, Python",222,2023-08-23,Bachelor's,Data Science,4.0,Open,Data
JOB-1046,Financial Analyst,Lyft,Transportation,1001-5000,United Kingdom,Manchester,Onsite,Full-time,Senior Level,7,77000,GBP,"Forecasting, Excel, Power BI, Financial Modeling",66,2024-05-18,Master's,Finance,3.7,Open,Business
JOB-1047,Senior Data Scientist,Walmart,Retail,10001+,Singapore,Singapore,Onsite,Contract,Director,8,147000,SGD,"Deep Learning, SQL, PyTorch, Machine Learning",197,2024-02-18,MBA,Data Science,3.7,Open,Data
JOB-1048,Frontend Engineer,BlackRock,Finance,5001-10000,Netherlands,Amsterdam,Hybrid,Full-time,Mid Level,5,123000,EUR,"React, TypeScript, CSS",304,2023-10-22,Bachelor's,Engineering,4.4,Open,Software
JOB-1049,Senior Data Engineer,Zoom,Software,1001-5000,United States,Denver,Onsite,Full-time,Executive,13,207000,USD,"dbt, Python, Airflow, Kafka, AWS",459,2024-05-25,PhD,Engineering,4.3,Closed,Data
JOB-1050,DevOps Engineer,Visa,Fintech,10001+,United States,Los Angeles,Hybrid,Full-time,Director,10,176000,USD,"AWS, Terraform, Docker, Python",206,2024-02-29,Bachelor's,Engineering,4.6,Open,Software
JOB-1051,Operations Analyst,Workday,Software,5001-10000,Canada,Toronto,Onsite,Internship,Mid Level,4,83000,CAD,"Lean, Power BI, SQL, Excel",90,2023-11-26,Master's,Operations,4.0,Open,Business
JOB-1052,Strategy Analyst,Palantir,Technology,1001-5000,Australia,Sydney,Hybrid,Full-time,Director,14,100000,AUD,"Excel, PowerPoint, Market Research, SQL",106,2023-06-05,MBA,Strategy,3.4,Open,Business
JOB-1053,Senior Data Scientist,McKinsey & Company,Consulting,10001+,Japan,Tokyo,Hybrid,Contract,Senior Level,6,19470000,JPY,"Python, PyTorch, SQL, Statistics, Deep Learning, Machine Learning",273,2024-02-12,PhD,Data Science,3.8,On Hold,Data
JOB-1054,Business Analyst,Deloitte,Consulting,10001+,Germany,Munich,Onsite,Full-time,Senior Level,7,97000,EUR,"Requirements Gathering, SQL, Tableau, Power BI, Excel",246,2023-04-11,Master's,Analytics,3.7,Open,Business
JOB-1055,Data Architect,Spotify,Entertainment,1001-5000,United States,Washington DC,Remote,Full-time,Mid Level,5,175000,USD,"SQL, AWS, Python",59,2023-07-04,Bachelor's,Engineering,4.2,On Hold,Data
JOB-1056,Product Manager,Mastercard,Fintech,10001+,United States,Atlanta,Remote,Part-time,Mid Level,2,179000,USD,"SQL, Roadmapping, Agile",129,2023-06-11,Master's,Product,4.3,Filled,Business
JOB-1057,Frontend Engineer,Boeing,Aerospace,10001+,Japan,Tokyo,Remote,Contract,Mid Level,3,14300000,JPY,"TypeScript, CSS, React, JavaScript, Git",170,2023-10-30,Bachelor's,Engineering,4.0,Open,Software
JOB-1058,Financial Analyst,UnitedHealth Group,Healthcare,10001+,United States,Denver,Hybrid,Contract,Senior Level,7,112000,USD,"Excel, Power BI, Financial Modeling, Forecasting, SQL",210,2023-05-21,Master's,Finance,3.4,Open,Business
JOB-1059,Senior Data Analyst,Morgan Stanley,Finance,10001+,Australia,Melbourne,Hybrid,Full-time,Mid Level,3,90000,AUD,"R, Python, SQL, Statistics, Tableau",10,2024-06-27,Master's,Analytics,3.9,Open,Data
JOB-1060,Operations Analyst,Workday,Software,5001-10000,Netherlands,Amsterdam,Remote,Full-time,Executive,18,94000,EUR,"SQL, Power BI, Lean, Process Improvement",298,2024-02-09,MBA,Operations,3.9,Open,Business
JOB-1061,Backend Engineer,CVS Health,Healthcare,10001+,Germany,Berlin,Remote,Full-time,Mid Level,2,128000,EUR,"Python, Java, SQL, AWS, Redis",22,2024-02-23,Master's,Engineering,3.7,Open,Software
JOB-1062,Senior Data Scientist,Adobe,Software,10001+,India,Hyderabad,Onsite,Full-time,Senior Level,8,4565000,INR,"PyTorch, Machine Learning, SQL, Statistics",204,2023-04-12,Master's,Data Science,3.9,On Hold,Data
JOB-1063,Marketing Analyst,Amazon,E-Commerce,10001+,Japan,Tokyo,Remote,Part-time,Mid Level,4,10230000,JPY,"Google Analytics, Python, Tableau, SQL",390,2024-02-12,Master's,Marketing,3.8,On Hold,Business
JOB-1064,Financial Analyst,Netflix,Entertainment,1001-5000,France,Paris,Hybrid,Contract,Mid Level,3,93000,EUR,"Forecasting, Excel, Power BI",328,2023-08-01,Bachelor's,Finance,4.8,Open,Business
JOB-1065,Data Analyst,Tesla,Automotive,10001+,Singapore,Singapore,Remote,Full-time,Director,10,66000,SGD,"Python, Statistics, Tableau, SQL, Excel",277,2023-11-28,PhD,Analytics,3.4,Open,Data
JOB-1066,Senior Data Scientist,Block,Fintech,1001-5000,United Kingdom,Manchester,Hybrid,Full-time,Senior Level,8,155000,GBP,"SQL, Statistics, Deep Learning",292,2024-06-17,PhD,Data Science,4.1,Open,Data
JOB-1067,Frontend Engineer,KPMG,Consulting,10001+,United States,Seattle,Hybrid,Full-time,Mid Level,3,115000,USD,"JavaScript, CSS, TypeScript, React, Git",216,2023-11-29,Master's,Engineering,4.0,Open,Software
JOB-1068,Marketing Analyst,Salesforce,Software,10001+,India,Pune,Hybrid,Full-time,Director,14,2158000,INR,"Tableau, Google Analytics, Python",101,2023-04-08,Master's,Marketing,4.5,Open,Business
JOB-1069,DevOps Engineer,Target,Retail,10001+,India,Delhi,Hybrid,Full-time,Entry Level,2,2739000,INR,"Kubernetes, Python, Terraform",286,2023-12-04,Bachelor's,Engineering,4.0,On Hold,Software
JOB-1070,Senior Data Analyst,Slack,Software,1001-5000,United States,Boston,Onsite,Full-time,Senior Level,6,141000,USD,"Statistics, Tableau, R, SQL, Power BI",137,2023-04-28,Bachelor's,Analytics,4.5,Closed,Data
JOB-1071,Financial Analyst,Tesla,Automotive,10001+,India,Bangalore,Onsite,Internship,Mid Level,3,2739000,INR,"SQL, Excel, Power BI, Financial Modeling, Forecasting",111,2023-05-26,Bachelor's,Finance,3.4,Open,Business
JOB-1072,Frontend Engineer,EY,Consulting,10001+,Australia,Melbourne,Hybrid,Full-time,Mid Level,2,137000,AUD,"TypeScript, React, CSS, Git",390,2023-02-20,Master's,Engineering,4.1,Closed,Software
JOB-1073,Full Stack Engineer,Tesla,Automotive,10001+,United States,Washington DC,Remote,Full-time,Senior Level,8,159000,USD,"Python, React, JavaScript, Node.js, AWS, SQL",212,2023-02-26,Master's,Engineering,3.6,Open,Software
JOB-1074,Analytics Engineer,Lyft,Transportation,1001-5000,Australia,Melbourne,Remote,Contract,Mid Level,3,122000,AUD,"Python, dbt, Snowflake, SQL",199,2023-12-29,Bachelor's,Engineering,3.6,Open,Data
JOB-1075,Data Scientist,BlackRock,Finance,5001-10000,United States,Washington DC,Onsite,Contract,Entry Level,0,128000,USD,"Statistics, TensorFlow, R, SQL, Machine Learning",421,2024-04-16,Bachelor's,Data Science,4.6,Open,Data
JOB-1076,Frontend Engineer,Twilio,Software,1001-5000,United States,Denver,Onsite,Full-time,Mid Level,3,115000,USD,"CSS, JavaScript, React, TypeScript, Git",126,2023-07-18,Bachelor's,Engineering,4.0,Closed,Software
JOB-1077,Senior Data Scientist,Twilio,Software,1001-5000,United States,Boston,Hybrid,Contract,Senior Level,5,181000,USD,"Deep Learning, Machine Learning, PyTorch, Statistics",275,2024-04-04,Master's,Data Science,4.0,Open,Data
JOB-1078,Software Engineer,Boeing,Aerospace,10001+,Germany,Munich,Hybrid,Full-time,Mid Level,4,114000,EUR,"SQL, Python, AWS, Java",214,2024-04-17,Bachelor's,Engineering,4.0,Closed,Software
JOB-1079,Data Scientist,Lockheed Martin,Aerospace,10001+,Germany,Berlin,Onsite,Full-time,Mid Level,3,138000,EUR,"TensorFlow, Statistics, Python, Machine Learning, R, SQL",10,2023-12-18,Bachelor's,Data Science,4.1,Open,Data
JOB-1080,Marketing Analyst,Twilio,Software,1001-5000,United States,Washington DC,Remote,Full-time,Mid Level,4,98000,USD,"Python, Google Analytics, Tableau, Excel",450,2023-12-09,Master's,Marketing,4.3,Closed,Business
JOB-1081,Operations Analyst,HubSpot,Software,1001-5000,India,Hyderabad,Hybrid,Full-time,Mid Level,5,1743000,INR,"Lean, Excel, Power BI, SQL, Process Improvement",233,2024-01-21,Bachelor's,Operations,4.4,Open,Business
JOB-1082,Financial Analyst,Lockheed Martin,Aerospace,10001+,United States,Washington DC,Remote,Full-time,Entry Level,0,78000,USD,"Forecasting, SQL, Excel, Financial Modeling",259,2023-05-21,Master's,Finance,3.9,Closed,Business
JOB-1083,Site Reliability Engineer,DoorDash,Food Delivery,1001-5000,Germany,Berlin,Onsite,Full-time,Mid Level,3,117000,EUR,"Linux, Kubernetes, AWS, Python, Monitoring",176,2023-06-19,Bachelor's,Engineering,3.4,Open,Software
JOB-1084,Senior Product Manager,Morgan Stanley,Finance,10001+,United States,Washington DC,Hybrid,Full-time,Executive,19,233000,USD,"Agile, SQL, Leadership, Product Strategy",327,2024-03-27,PhD,Product,4.3,Open,Business
JOB-1085,ML Engineer,Airbnb,Hospitality,1001-5000,Canada,Toronto,Remote,Full-time,Director,9,151000,CAD,"PyTorch, Python, MLOps, TensorFlow",259,2024-06-09,Master's,Engineering,3.9,On Hold,Data
JOB-1086,Senior Software Engineer,Morgan Stanley,Finance,10001+,United Kingdom,Manchester,Onsite,Full-time,Mid Level,5,186000,GBP,"SQL, Python, AWS",224,2023-04-12,Bachelor's,Engineering,4.0,Closed,Software
JOB-1087,Data Architect,Amazon,E-Commerce,10001+,United States,San Francisco,Onsite,Full-time,Mid Level,3,201000,USD,"Python, Spark, Azure, Data Modeling, SQL, AWS",223,2023-04-24,Bachelor's,Engineering,3.6,Open,Data
JOB-1088,Business Analyst,Goldman Sachs,Finance,10001+,Germany,Munich,Remote,Full-time,Mid Level,3,86000,EUR,"Requirements Gathering, SQL, Power BI, Excel, Tableau",247,2023-12-28,Bachelor's,Analytics,4.0,Closed,Business
JOB-1089,Senior Software Engineer,Block,Fintech,1001-5000,India,Mumbai,Hybrid,Full-time,Director,8,4897000,INR,"Kubernetes, AWS, Python",363,2023-01-17,Bachelor's,Engineering,4.1,Open,Software
JOB-1090,Product Manager,DoorDash,Food Delivery,1001-5000,Ireland,Dublin,Remote,Full-time,Senior Level,8,156000,EUR,"Agile, SQL, Product Strategy, Roadmapping, Analytics",155,2023-05-19,Master's,Product,3.7,Open,Business
JOB-1091,Senior Data Analyst,Databricks,Technology,1001-5000,India,Mumbai,Hybrid,Full-time,Executive,20,3154000,INR,"SQL, Tableau, Statistics, Power BI",460,2023-10-20,MBA,Analytics,4.7,On Hold,Data
JOB-1092,Senior Data Scientist,Atlassian,Software,5001-10000,United States,Chicago,Onsite,Full-time,Mid Level,5,174000,USD,"SQL, Statistics, PyTorch, Machine Learning, Deep Learning",284,2023-03-26,Bachelor's,Data Science,4.2,Open,Data
JOB-1093,Data Architect,Johnson & Johnson,Healthcare,10001+,United States,Washington DC,Hybrid,Full-time,Mid Level,5,176000,USD,"SQL, Python, AWS, Azure, Spark",96,2023-12-28,Bachelor's,Engineering,4.0,Open,Data
JOB-1094,Financial Analyst,Apple,Technology,10001+,United States,Boston,Hybrid,Part-time,Senior Level,8,96000,USD,"Power BI, SQL, Forecasting, Excel, Financial Modeling",487,2024-01-11,Master's,Finance,4.4,Open,Business
JOB-1095,Full Stack Engineer,Target,Retail,10001+,United Kingdom,Manchester,Hybrid,Full-time,Mid Level,4,128000,GBP,"Python, SQL, JavaScript, AWS, Node.js",250,2023-07-10,Master's,Engineering,4.0,Open,Software
JOB-1096,Analytics Engineer,DoorDash,Food Delivery,1001-5000,United States,Los Angeles,Onsite,Part-time,Entry Level,0,125000,USD,"Snowflake, SQL, Python, Looker, dbt",380,2023-03-31,Master's,Engineering,3.6,Filled,Data
JOB-1097,Marketing Analyst,Accenture,Consulting,10001+,Japan,Tokyo,Remote,Internship,Entry Level,2,8910000,JPY,"Tableau, Excel, Google Analytics",77,2024-06-04,Bachelor's,Marketing,3.5,Closed,Business
JOB-1098,Data Analyst,Mastercard,Fintech,10001+,Germany,Berlin,Hybrid,Full-time,Director,9,77000,EUR,"Power BI, Statistics, Tableau, Python, SQL",488,2024-06-22,Master's,Analytics,4.3,Open,Data
JOB-1099,Business Analyst,Deloitte,Consulting,10001+,United Kingdom,Manchester,Onsite,Full-time,Mid Level,3,88000,GBP,"Requirements Gathering, Power BI, Tableau",372,2023-02-26,Bachelor's,Analytics,4.1,Open,Business
JOB-1100,Marketing Analyst,Deloitte,Consulting,10001+,United States,Atlanta,Hybrid,Full-time,Entry Level,2,69000,USD,"Excel, Tableau, SQL",103,2023-04-06,Bachelor's,Marketing,3.7,On Hold,Business
JOB-1101,Financial Analyst,Airbnb,Hospitality,1001-5000,United States,Seattle,Hybrid,Full-time,Entry Level,2,86000,USD,"Forecasting, SQL, Power BI, Excel, Financial Modeling",240,2024-03-02,Master's,Finance,4.2,On Hold,Business
JOB-1102,Business Analyst,Workday,Software,5001-10000,United States,Washington DC,Hybrid,Full-time,Mid Level,2,84000,USD,"Requirements Gathering, Excel, Tableau, Power BI",105,2023-12-15,Master's,Analytics,4.2,Closed,Business
JOB-1103,Data Engineer,KPMG,Consulting,10001+,India,Pune,Onsite,Full-time,Entry Level,1,2490000,INR,"Airflow, AWS, Python, Spark, Kafka",351,2024-01-29,Bachelor's,Engineering,3.8,Filled,Data
JOB-1104,Product Manager,Deloitte,Consulting,10001+,United Kingdom,London,Remote,Full-time,Director,15,122000,GBP,"Agile, SQL, Product Strategy, Roadmapping, Analytics",417,2023-09-04,PhD,Product,3.8,Open,Business
JOB-1105,Business Analyst,Tesla,Automotive,10001+,India,Delhi,Remote,Full-time,Entry Level,1,1909000,INR,"Requirements Gathering, Tableau, Power BI, SQL, Excel",262,2024-02-15,Bachelor's,Analytics,3.3,Open,Business
JOB-1106,Backend Engineer,Apple,Technology,10001+,India,Hyderabad,Hybrid,Full-time,Senior Level,7,3735000,INR,"Redis, Node.js, Python, SQL, AWS, Java",194,2024-06-05,Master's,Engineering,4.4,Open,Software
JOB-1107,Cloud Engineer,Visa,Fintech,10001+,India,Mumbai,Onsite,Full-time,Executive,16,4150000,INR,"Azure, Kubernetes, Python, Terraform, GCP, AWS",71,2024-05-16,MBA,Engineering,4.3,Closed,Software
JOB-1108,Financial Analyst,McKinsey & Company,Consulting,10001+,Japan,Tokyo,Onsite,Full-time,Senior Level,5,12100000,JPY,"Power BI, SQL, Forecasting",228,2023-08-22,PhD,Finance,4.3,Open,Business
JOB-1109,Financial Analyst,Uber,Transportation,5001-10000,United States,San Francisco,Onsite,Full-time,Mid Level,5,87000,USD,"Excel, Forecasting, Power BI",193,2024-04-27,Bachelor's,Finance,3.7,Open,Business
JOB-1110,ML Engineer,Block,Fintech,1001-5000,India,Pune,Hybrid,Full-time,Director,13,4316000,INR,"SQL, MLOps, Kubernetes, TensorFlow, Python",114,2023-09-28,MBA,Engineering,3.7,Open,Data
JOB-1111,Business Intelligence Analyst,ServiceNow,Software,10001+,India,Bangalore,Onsite,Part-time,Mid Level,4,2075000,INR,"Tableau, Power BI, DAX, Excel",81,2024-02-09,Master's,Analytics,4.2,Closed,Data
JOB-1112,Data Architect,Amazon,E-Commerce,10001+,Australia,Melbourne,Remote,Full-time,Mid Level,3,194000,AUD,"AWS, Azure, Python",224,2023-10-06,Bachelor's,Engineering,4.1,Open,Data
JOB-1113,Financial Analyst,Meta,Technology,10001+,India,Bangalore,Hybrid,Part-time,Senior Level,5,2656000,INR,"Financial Modeling, Forecasting, Excel, SQL, Power BI",501,2023-06-11,PhD,Finance,4.6,On Hold,Business
JOB-1114,ML Engineer,Lockheed Martin,Aerospace,10001+,Canada,Toronto,Onsite,Full-time,Senior Level,5,175000,CAD,"PyTorch, SQL, Python, MLOps, Kubernetes",390,2023-06-30,PhD,Engineering,4.4,Closed,Data
JOB-1115,Operations Analyst,Stripe,Fintech,1001-5000,India,Bangalore,Remote,Full-time,Mid Level,5,2656000,INR,"SQL, Lean, Excel, Power BI",368,2023-10-07,Master's,Operations,4.7,Open,Business
JOB-1116,Analytics Engineer,Lockheed Martin,Aerospace,10001+,Canada,Vancouver,Hybrid,Full-time,Senior Level,6,123000,CAD,"SQL, dbt, Python, Looker, Snowflake",447,2024-03-13,Master's,Engineering,3.7,Closed,Data
JOB-1117,DevOps Engineer,LinkedIn,Technology,10001+,India,Pune,Hybrid,Full-time,Senior Level,7,3486000,INR,"Docker, Kubernetes, CI/CD, Python, Terraform",246,2024-01-04,Master's,Engineering,4.3,Open,Software
JOB-1118,Backend Engineer,Airbnb,Hospitality,1001-5000,United States,Denver,Onsite,Contract,Executive,19,163000,USD,"AWS, Python, Node.js, Java, Redis",247,2024-03-01,MBA,Engineering,3.8,Closed,Software
JOB-1119,Business Intelligence Analyst,Lyft,Transportation,1001-5000,United States,Seattle,Remote,Contract,Director,9,105000,USD,"DAX, SQL, Tableau, Power BI, Excel",79,2023-06-03,Master's,Analytics,3.7,Open,Data
JOB-1120,Product Manager,Zoom,Software,1001-5000,United States,Boston,Onsite,Full-time,Mid Level,5,162000,USD,"Product Strategy, Roadmapping, Analytics, SQL",40,2023-11-12,Bachelor's,Product,3.9,Closed,Business
